#{"t_start": 1563907828.7900326, "env_id": "gymXplane-v2"}
r,l,t
-15.910911,147,81265.92535
-4.679323,136,81281.394594
-24.17387,1,81281.510468
85.04367,297,81315.255422
1178.532205,635,81386.838682
31.036918,83,81396.147941
-21.921295,72,81404.193194
-10.75976,79,81413.062047
-11.677816,213,81437.042952
-0.743714,141,81452.953605
931.653426,424,81501.03399
-29.90094,61,81507.877487
-3.280197,71,81515.890399
35.783098,89,81525.967281
1571.269058,336,81563.95348
-5.770447,78,81572.873405
28.07972,89,81582.840799
-21.272851,2,81583.129335
15.976277,137,81598.57514
-21.661199,126,81613.015354
-13.329813,12,81614.343069
-21.066398,62,81621.375669
-12.742913,13,81622.823942
31.840181,211,81646.656811
-20.774169,70,81654.757165
-15.30909,127,81669.179078
12.264306,78,81678.019849
-38.593305,72,81686.130895
4.904397,74,81694.477073
-19.062076,3,81694.821105
-20.289913,3,81695.153199
1018.730114,421,81742.94212
-4.112668,17,81744.824102
-48.475022,69,81752.726812
-8.692859,139,81768.303346
15.737723,154,81785.897095
0.681498,140,81801.763
19.888482,217,81826.359648
-4.069164,74,81834.643701
-1.034278,68,81842.409539
-9.235646,12,81843.734175
-13.895227,6,81844.405583
-23.746928,1,81844.508655
-24.153895,1,81844.614503
25.781119,83,81854.005761
-19.819786,3,81854.326815
-9.943873,7,81855.11542
56.486426,282,81887.114673
28.912669,92,81897.624877
4.943119,15,81899.3305
872.847111,469,81952.111213
15.477717,134,81967.516832
-10.479421,132,81982.439629
9.197496,76,81991.044736
2.498875,72,81999.23209
36.000145,86,82008.871214
32.474087,145,82025.149943
19.489633,140,82040.924732
30.884538,156,82058.467555
13.439118,139,82074.141104
-21.887484,3,82074.477379
-1.456643,71,82082.400561
-17.324856,4,82082.849352
11.844895,71,82090.840027
-23.60504,73,82099.090933
38.485506,89,82109.008537
-19.394682,3,82109.352
